  Отдел Номер отдела Блок  ID
0     M            1    A  01
1    CI            2    B  02
2    CS            3    C  03
3     A            4    D  04
4     D            5    E  05
  Отдел Номер отдела Блок  ID
0     M            1    A  01
1    CI            2    B  02
2    CS            3    C  03
3     A            4    D  04
4     D            5    E  05
  Отдел Номер отдела Блок  ID
0     M            1    A  01
1    CI            2    B  02
2    CS            3    C  03
3     A            4    D  04
4     D            5    E  05
  Отдел Номер отдела Блок  ID
0     M            1    A  01
1    CI            2    B  02
2    CS            3    C  03
3     A            4    D  04
4     D            5    E  05
  Отдел Номер отдела Блок  ID
0     M            1    A  01
1    CI            2    B  02
2    CS            3    C  03
3     A            4    D  04
4     D            5    E  05
  Отдел Номер отдела Блок  ID
0     M            1    A  01
1    CI            2    B  02
2    CS            3    C  03
3     A            4    D  04
4     D            5    E  05
  Отдел Номер отдела Блок  ID
0     M            1    A  01
1    CI            2    B  02
2    CS            3    C  03
3     A            4    D  04
4     D            5    E  05
